"am" "dmin" "dmax" "rv" "md" "ou" "moi" "jti" "eo" "ecc" "sma" "inc" "anl" "op" "pd" "pa" "ad" "pt" "ma" "mm" "haz"
"45" 26.5 0.0133215567 0.0297879063 7.5164621883 0.2360511039 1 0.00576149 6.132 2458000.5 0.0139484975142376 0.988667858326567 4.32090819981325 264.405602216797 359.065806818629 0.974877427162292 87.816443038959 1.00245828949084 2457942.4071178 58.2440243419709 1.00260173250594 "False"
"46" 18.8 0.4619074603 1.0328564805 21.5347344882 0.4674758318 1 0.264451 3.214 2458000.5 0.444599779749742 2.25057462919557 40.074906324106 190.802322714037 1233.21430837665 1.24996964474486 16.1745500290016 3.25117961364628 2458488.26358553 217.612022828001 0.291920064140261 "False"
"47" 28.15 0.0062309602 0.0139328506 13.5922329378 0.3228583667 4 4.42295e-05 5.916 2458000.5 0.145894028331057 1.03321040763144 3.17431958076929 10.4441103287747 383.602638070888 0.882471179148518 85.7315323595424 1.18394963611437 2458145.01205237 224.379611369692 0.938471126816062 "False"
"48" 20.8 0.1838886721 0.411187571 8.1878859535 0.3826167269 2 0.0497576 5.797 2458000.5 0.296206128798872 1.05207940264093 7.90647349638984 128.840540796347 394.158779169758 0.740447035595629 242.293197578416 1.36371176968623 2457881.08568177 109.065576703302 0.913337515298507 "True"
"49" 25.6 0.0201629919 0.0450858206 14.0912031607 0.2689702852 7 0.024568 6.797 2458000.5 0.198610406795822 0.863323089035634 15.2906013411329 18.6394879034044 292.993820551631 0.691858139126041 344.800531444118 1.03478803894523 2458132.94505947 197.265436793637 1.22869485548267 "False"
"50" 25.4 0.022108281 0.0494356193 11.1995010545 0.2328691339 5 0.0053862 6.79 2458000.5 0.177454625327355 0.869336431854338 1.86779849136472 150.005089686912 296.060349355338 0.715068661056206 204.978687057112 1.02360420265247 2457906.71391132 114.040910907057 1.21596830100312 "False"
"51" 19.4 0.3503926411 0.7835017643 9.3048655227 0.0362417486 1 0.0215286 5.768 2457800.5 0.129043859581536 1.06119712069201 15.0897204217253 215.443635517316 399.293758192414 0.924256148461097 61.1730135925787 1.19813809292292 2457865.40562799 301.481614478695 0.901591854652837 "True"
"52" 21 0.1677084622 0.3750075218 26.0538805106 0.4006429748 1 0.175606 4.38 2458000.5 0.545844028299236 1.48715222472936 10.4249532879634 114.72927308204 662.417145035928 0.675399063688915 354.169234042591 2.29890538576981 2457734.9226792 144.331764664412 0.543464194273647 "False"
"53" 20.9 0.1756123185 0.3926810818 19.2686125665 0.4392369614 0 0.0337336 5.148 2458000.5 0.523263108804333 1.18214876470151 23.2772054035402 65.7720824552573 469.468681958391 0.563573927014594 110.154953144141 1.80072360238842 2457785.99268891 164.489421680861 0.766824314027207 "True"
"54" 19.4 0.3503926411 0.7835017643 9.3048655241 0.0362417486 1 0.020437 5.768 2458000.5 0.129015347215278 1.06119106645937 15.0900047631558 215.442831299369 399.290341182781 0.924281132558361 61.1891386957511 1.19810100036037 2457865.41695575 121.790814642756 0.901599570211503 "True"
"55" 18.9 0.4411182 0.9863702813 14.3425306846 0.2269234082 0 0.00433054 3.539 2458000.5 0.532484748260494 2.10401812174821 8.16852452420912 299.021681567557 1114.73757650141 0.983660561853597 332.952029457655 3.22437568164282 2457678.05352411 104.132787631854 0.322945962878416 "True"
"56" 24 0.0421264611 0.0941976306 10.8435350851 0.3079150576 3 0.0666464 6.379 2458000.5 0.247374752858408 0.935217007381201 7.02845026992195 204.199348280267 330.344454730004 0.703867931311297 23.6524719416279 1.1665660834511 2458103.63707368 247.60414775645 1.08977158491803 "False"
"57" 21.494 0.1335841639 0.2987032712 15.6786970401 0.1947745932 5 0.0739088 6.696 2458000.5 0.383885057910244 0.874062218016032 10.8683759590036 100.30275725199 298.477740762475 0.538522792835791 257.16898566608 1.20960164319627 2457968.78232091 38.2553300025332 1.20612009150285 "False"
"58" 17.4 0.8801465209 1.9680674509 36.9027872256 0.3090826956 0 0.0508661 3.58 2458000.5 0.56397804445987 1.72359050773543 53.8282728237617 38.9872703801935 826.512768737267 0.751523303733208 114.969950053707 2.69565771173765 2458079.94326586 325.397297186163 0.435564958724113 "False"
"59" 22.1 0.1010543415 0.2259643771 15.7970850712 0.1834604628 0 0.0549144 5.293 2458000.5 0.153836990772677 1.15781714942884 31.0424516089619 49.3199967658511 455.04924050865 0.979702043295711 246.833290251755 1.33593225556198 2458117.76361054 267.230040102893 0.791123175148243 "False"
"60" 21.6 0.1272198785 0.2844722965 20.2894533769 0.2034854101 0 0.0812573 5.01 2458000.5 0.476510032939035 1.25346871404695 5.80092536793395 191.258779661773 512.588283251968 0.656178295828387 147.937511284255 1.85075913226551 2458112.46002854 281.368451853231 0.702318043081446 "False"
"61" 20.5 0.2111324448 0.4721064988 19.8548506193 0.1496882423 1 0.117551 6.468 2458000.5 0.526542700061064 0.896338940557524 20.1302145815491 38.7816057950824 309.960835853707 0.424378214626492 334.98067422639 1.36829966648856 2457976.50613384 27.8673652277349 1.16143705384093 "False"
"62" 21 0.1677084622 0.3750075218 24.7182552115 0.3425756907 2 0.00215466 4.092 2458000.5 0.533246260435289 1.65369661265653 7.5022751357867 74.4912420849893 776.751645750183 0.771869078062932 250.742243315576 2.53552414725014 2457669.89293506 153.225994471853 0.46346860282776 "True"
"63" 22.2 0.096506147 0.2157943048 11.3966022742 0.2338387796 1 0.0499383 5.512 2458000.5 0.498869693215726 1.10032726678894 10.787732082772 16.9804047632284 421.581203821739 0.551407340769043 125.979500992114 1.64924719280883 2457807.13533605 165.119503411849 0.853928013717192 "False"
"64" 20.6 0.2016299194 0.4508582062 15.4554198905 0.1096739132 7 0.0947896 4.044 2458000.5 0.490849798959416 1.66165055310195 22.1301664250267 72.2175789214407 782.3624022976 0.846029713171055 100.31537152057 2.47727139303284 2457629.30544127 170.803250194103 0.460144811333944 "False"
"65" 24.4 0.0350392641 0.0783501764 14.6851764215 0.3870564736 0 0.021176 5.17 2458000.5 0.18968293174246 1.23360801217382 5.56507111289487 215.903287816959 500.454039405288 0.999613627803702 323.560240384488 1.46760239654394 2457831.34811798 121.67886105999 0.719346776434863 "False"
"66" 18.8 0.4619074603 1.0328564805 19.5361708097 0.346919794 2 0.0613713 3.232 2458000.5 0.591282535960133 2.26958754510229 28.1773224081039 95.203000551295 1248.87460932011 0.927620065850674 158.521533093483 3.6115550243539 2458591.87460831 189.530637100273 0.288259523665057 "False"
"67" 25.8 0.0183888672 0.0411187571 4.8238986328 0.4017865719 6 0.00120536 4.769 2458000.5 0.350066433319288 1.36593609139459 0.654497156774135 214.130232315393 583.10128344494 0.887767715737998 119.646571876547 1.84410446705118 2458076.20014304 313.263605706976 0.617388454151796 "False"
"68" 24.3 0.0366906138 0.0820427065 11.5082485302 0.0258608669 7 0.0222117 5.054 2458000.5 0.202625295607249 1.25365541909637 20.0036955332363 256.445328272015 512.70281309625 0.999633119212342 38.5665634361532 1.50767771898041 2458106.35488749 285.672809813962 0.702161156140208 "False"
"69" 19.6 0.3195618867 0.7145621017 18.3327339774 0.355113415 0 0.0142281 5.208 2457800.5 0.234803202424059 1.18705703158683 27.4281929110759 91.3017276853694 472.395556943907 0.908332239110243 58.2930682841533 1.46578182406341 2457814.67150438 349.200276121189 0.762073213238851 "True"
"70" 26.2 0.0152951935 0.0342010925 7.9263615697 0.1628003234 6 0.00634687 5.537 2458000.5 0.119756632920036 1.1266019497571 6.50732687076859 242.582895641975 436.771381718326 0.991683893613046 318.516336615904 1.26152000590116 2458071.88929443 301.15881426521 0.82422982610194 "False"
"71" 20.8 0.1838886721 0.411187571 19.6672789686 0.3665254682 1 0.113249 6.447 2458000.5 0.299153917873014 0.912717016736762 21.0333489789841 87.5739283215994 318.495021618612 0.63967414527059 23.6169219970226 1.18575988820293 2458072.70600208 278.384404831394 1.13031594079699 "False"
"72" 19.6 0.3195618867 0.7145621017 18.3327075668 0.3551124243 0 0.014981 5.208 2458000.5 0.234770561244214 1.18707590311588 27.4293475697082 91.2962283376823 472.406822024275 0.908385427101882 58.3031125224962 1.46576637912988 2457814.66831711 141.613970674025 0.762055040732458 "True"
"73" 20.616 0.2001497153 0.447548369 17.4813559273 0.3236887064 5 0.317486 5.612 2458000.5 0.40547893912238 1.06261344059497 29.9795517630908 280.317492469328 400.093397116724 0.631746070005342 202.132189315603 1.4934808111846 2458183.94181824 194.94090369054 0.899789905542913 "False"
"74" 17.5 0.8405334021 1.8794898244 16.1254927357 0.3009671033 0 0.0636542 3.367 2458000.5 0.548401882296525 2.30671852942872 3.24614324115358 213.286301782675 1279.64744308968 1.04170974596174 98.0395632854609 3.57172731289571 2457601.27516872 112.312918715167 0.281327487460755 "False"
"75" 22 0.1058168859 0.2366137501 13.4752350082 0.0656199111 7 0.0589302 5.364 2458000.5 0.30977234666475 1.15023129793606 20.0186281956633 268.096334033739 450.584447912949 0.793921449567168 70.135953631271 1.50654114630496 2458052.23419338 318.666328358358 0.798962329187071 "False"
"76" 23 0.0667659413 0.1492931834 4.3317191588 0.0942749026 5 0.0949569 4.633 2458000.5 0.231820930706473 1.43838766634434 7.09666149780714 253.429518300764 630.104168308888 1.10493929881569 18.9283631016571 1.771836033873 2458088.20884745 309.888944289427 0.571334103321662 "False"
"77" 21.5 0.1332155667 0.2978790628 16.9382989689 0.30841203 4 0.0738937 3.5 2458000.5 0.526147418791492 2.16197805570567 4.44091130235128 237.856775267039 1161.11530358446 1.02445888221228 78.2419043467763 3.29949722919905 2458038.02990339 348.363976273232 0.310046727391026 "False"
"78" 16.5 1.332155667 2.978790628 13.1145420116 0.046096606 0 0.0436453 7.557 2458000.5 0.339979715986646 0.753184433640668 24.9272962782371 272.69281895157 238.753875806002 0.497117003805951 156.623937349032 1.00925186347538 2458103.87611385 204.126505344682 1.50782892543497 "True"
"79" 20.2 0.2424124811 0.5420507863 11.0655789028 0.4891910301 0 0.0270542 5.556 2458000.5 0.461492035167489 1.08714222884905 18.2835214315469 246.750955268562 414.026343884022 0.58543474914098 256.042144434708 1.58884970855711 2458057.79866741 310.178242103194 0.869509888242386 "True"
"80" 27.1 0.0101054342 0.0225964377 12.5521761782 0.1217900305 1 0.00108035 6.997 2458000.5 0.388447278836999 0.830728067890893 5.0596640770013 166.154480617129 276.5583358675 0.508034010465158 319.796198909085 1.15342212531663 2458016.80254491 338.778740660318 1.30171451484463 "False"
"81" 27.2 0.0096506147 0.0215794305 12.5265347443 0.373472573 7 0.00396247 6.385 2458000.5 0.360124156968803 0.929745406814184 0.495221710060206 323.492606456549 327.449618762162 0.594921625989609 264.26581609944 1.26456918763876 2458072.03320699 281.355979543298 1.09940576923218 "False"
"82" 21.571 0.1289302951 0.2882969041 12.8353276218 0.3169188022 5 0.119136 4.491 2458000.5 0.294842973658921 1.498548586522 6.8013033255785 56.1667320870945 670.046077944144 1.05671206509948 259.307284815032 1.94038510794452 2457965.06367336 19.0391049373408 0.537276482692896 "False"
"83" 18.7 0.4836764882 1.0815335068 24.3634556187 0.4537824533 0 0.00197078 4.054 2458000.5 0.492126625285924 1.69497856339239 7.83911684920814 326.902468577604 806.018002383077 0.860834483058107 233.05573942036 2.52912264372666 2457919.65161829 36.1101331846324 0.446640148155032 "True"
"84" 20.6 0.2016299194 0.4508582062 8.9531690586 0.1383051498 0 0.0355235 6.454 2456346.5 0.412094837075094 0.913852028065358 5.20849932163148 205.242572954568 319.08930409448 0.53725832544902 211.13010769699 1.2904457306817 2456372.82623736 330.298454608454 1.12821080299641 "True"
"85" 18.1 0.6376097899 1.4257388333 15.5946377133 0.3871723975 0 0.243876 3.776 2458000.5 0.392904404842627 1.90717825097135 19.8015151218068 90.671469731107 962.022778164792 1.15783951534465 235.8207925628 2.65651698659805 2457630.10940908 138.604423676472 0.374211513667853 "False"
"86" 19.5 0.3346223745 0.7482383761 31.6077353288 0.4129162592 0 0.00803028 3.594 2458000.5 0.537495150713184 1.85446205545162 38.5009155290415 124.794281285942 922.412870795681 0.857697693464769 237.716054600699 2.85122641743847 2458244.06789618 264.940135377195 0.390280764067679 "True"
"87" 18.7 0.4836764882 1.0815335068 32.1814057516 0.2381173175 0 0.22291 5.289 2458000.5 0.790756960368756 1.06450765784871 43.561154483621 276.454132166849 401.163684903155 0.222740818039001 160.10543676 1.90627449765843 2457979.53685473 18.812102343521 0.897389304036599 "False"
"88" 18.7 0.4836764882 1.0815335068 32.1814058882 0.2381172941 0 0.22291 5.289 2458000.5 0.790756968913718 1.06450765802858 43.5611550422087 276.454131499923 401.163685004828 0.222740808980458 160.105435575449 1.90627450707669 2457979.53685409 18.8121029128578 0.897389303809161 "False"
"89" 20.1 0.2538370294 0.5675968529 18.5175254845 0.32111022 0 0.14088 4.574 2457600.5 0.247696642667978 1.37645109644635 37.2240710882924 106.130316119464 589.847313835988 1.03550878105993 244.06326872603 1.71739341183276 2457658.84427523 324.390887964889 0.61032743822938 "False"
"90" 20.1 0.2538370294 0.5675968529 31.1285563305 0.4797684445 1 0.00799405 3.918 2458000.5 0.607312702227719 1.73386919363144 0.920945053774763 317.392857802347 833.917182618952 0.680868408337734 228.727684830912 2.78686997892515 2458218.50629277 265.887218740941 0.431697544436493 "True"
"91" 20.2 0.2424124811 0.5420507863 18.5175194475 0.3211118286 0 0.141147 4.574 2458000.5 0.247647176142756 1.37650161152748 37.2227920657999 106.124859032674 589.879784795218 1.03561487447675 244.060825391465 1.71738834857821 2458248.69691519 208.526951131309 0.610293841693485 "False"
"92" 19.7 0.3051792326 0.6824015094 26.347867125 0.3719103572 1 0.200346 3.568 2458000.5 0.436416167600886 1.89556158485653 40.7558999569074 296.318295687721 953.246622184949 1.06830786254198 56.5605408021147 2.72281530717107 2457581.92920427 158.076077016007 0.377656727673306 "False"
"93" 16.7 1.214940408 2.7166893409 20.2917992454 0.4068983202 0 0.256265 3.427 2458000.5 0.707411422929393 2.01644915065088 15.9512804436407 168.529986540123 1045.87393319646 0.589989987724177 167.100528920297 3.44290831357759 2458304.36921199 255.405255984654 0.344209745145619 "False"
"94" 17.9 0.6991252322 1.5632915441 15.3422196651 0.4432989827 0 0.0451383 5.169 2458000.5 0.278078799919019 1.18956973508182 30.1225406141259 292.47575698467 473.896265655836 0.858775610730278 84.2046886005298 1.52036385943335 2458067.79332112 308.879960955237 0.759659921569096 "True"
"95" 23.7 0.0483676488 0.1081533507 9.8307494523 0.3266999354 6 0.0752783 6.424 2458000.5 0.222717159391895 0.925365007447523 13.0828455843897 359.715169887141 325.138229047297 0.719270341588151 330.565024655643 1.13145967330689 2458031.55895119 325.610865072742 1.10722138413208 "False"
"96" 20.3 0.2315021222 0.5176544822 15.4140722175 0.4815542488 2 0.0449381 7.609 2458000.5 0.271073410875235 0.75215313613615 19.1976308267857 358.658780094991 238.263673221287 0.548264420023219 347.462345999179 0.956041852249081 2458042.55609006 296.456144508039 1.51093112572662 "True"
